"id","loyalty_status","purchase_frequency","purchase_amount","product_category"
138,"Regular","rare",10766,"Beauty"
139,"Regular","rare",17373,"Beauty"
140,"Regular","occasional",15874,"Clothing"
141,"Gold","occasional",6098,"Electronics"
142,"Regular","rare",13441,"Clothing"
143,"Silver","rare",18931,"Books"
144,"Gold","frequent",13086,"Health"
145,"Regular","rare",11515,"Electronics"
146,"Regular","rare",13114,"Food"
147,"Regular","occasional",19674,"Food"
148,"Regular","occasional",12844,"Electronics"
149,"Regular","frequent",6937,"Electronics"
150,"Silver","frequent",3085,"Electronics"
151,"Silver","frequent",10573,"Clothing"
152,"Regular","occasional",9307,"Clothing"
153,"Gold","frequent",3330,"Health"
154,"Regular","frequent",14639,"Electronics"
155,"Regular","rare",10921,"Electronics"
156,"Regular","rare",3966,"Electronics"
157,"Regular","rare",11283,"Clothing"
158,"Regular","rare",16513,"Home"
159,"Regular","occasional",12462,"Home"
160,"Gold","rare",4345,"Electronics"
161,"Regular","frequent",11767,"Health"
162,"Gold","rare",7435,"Books"
163,"Silver","occasional",6986,"Health"
164,"Regular","occasional",18143,"Books"
165,"Gold","rare",2659,"Electronics"
166,"Regular","occasional",4785,"Food"
167,"Regular","rare",13142,"Beauty"
168,"Regular","occasional",16278,"Food"
169,"Gold","occasional",12272,"Books"
170,"Regular","rare",5900,"Clothing"
171,"Gold","rare",13751,"Clothing"
172,"Regular","occasional",14141,"Books"
173,"Regular","rare",15514,"Electronics"
174,"Regular","frequent",3995,"Electronics"
175,"Regular","frequent",12657,"Electronics"
176,"Regular","rare",2110,"Health"
177,"Silver","occasional",19672,"Electronics"
178,"Regular","occasional",12097,"Clothing"
179,"Regular","rare",7104,"Clothing"
180,"Regular","rare",13374,"Food"
181,"Silver","occasional",9764,"Clothing"
182,"Regular","rare",18203,"Electronics"
183,"Silver","rare",3110,"Clothing"
184,"Regular","rare",6691,"Electronics"
185,"Regular","rare",10566,"Electronics"
186,"Gold","rare",8423,"Books"
187,"Silver","occasional",3337,"Food"
188,"Gold","rare",10313,"Health"
189,"Regular","rare",10525,"Books"
190,"Gold","occasional",10428,"Clothing"
191,"Silver","occasional",8916,"Clothing"
192,"Regular","rare",7561,"Electronics"
193,"Regular","rare",2841,"Electronics"
194,"Gold","occasional",3073,"Books"
195,"Gold","frequent",11964,"Electronics"
196,"Silver","rare",17092,"Books"
197,"Regular","rare",6493,"Books"
198,"Silver","rare",4259,"Clothing"
199,"Gold","rare",11418,"Electronics"
200,"Regular","rare",15823,"Clothing"
201,"Silver","rare",11286,"Beauty"
202,"Regular","occasional",8343,"Electronics"
203,"Silver","occasional",4654,"Beauty"
204,"Silver","occasional",8609,"Books"
205,"Regular","rare",3600,"Clothing"
206,"Regular","rare",18073,"Clothing"
207,"Silver","frequent",2311,"Clothing"
208,"Regular","rare",16081,"Books"
209,"Regular","rare",12032,"Electronics"
210,"Regular","occasional",9450,"Clothing"
211,"Regular","occasional",12160,"Electronics"
212,"Gold","rare",13738,"Books"
213,"Regular","frequent",3178,"Food"
214,"Silver","rare",8439,"Food"
215,"Regular","occasional",11142,"Clothing"
216,"Silver","occasional",8019,"Electronics"
217,"Regular","occasional",16810,"Electronics"
218,"Regular","occasional",7789,"Books"
219,"Gold","rare",18283,"Electronics"
220,"Regular","occasional",11514,"Clothing"
221,"Silver","occasional",15517,"Food"
222,"Silver","rare",8315,"Clothing"
223,"Regular","rare",5726,"Electronics"
224,"Silver","rare",15433,"Health"
225,"Regular","frequent",8674,"Books"
226,"Regular","occasional",8043,"Books"
227,"Regular","occasional",11448,"Clothing"
228,"Regular","frequent",12238,"Clothing"
229,"Regular","occasional",12552,"Books"
230,"Silver","frequent",13074,"Electronics"
231,"Gold","rare",15588,"Health"
232,"Regular","frequent",10836,"Food"
233,"Regular","occasional",20051,"Electronics"
234,"Silver","rare",2167,"Electronics"
235,"Regular","rare",10599,"Books"
236,"Regular","rare",2749,"Food"
237,"Silver","rare",14540,"Electronics"
238,"Regular","rare",6048,"Electronics"
239,"Regular","rare",8536,"Clothing"
240,"Regular","rare",2668,"Food"
241,"Regular","rare",3473,"Electronics"
242,"Silver","rare",6930,"Food"
243,"Regular","occasional",12194,"Health"
244,"Regular","occasional",9663,"Electronics"
245,"Regular","rare",6657,"Health"
246,"Regular","rare",13107,"Beauty"
247,"Regular","rare",5133,"Electronics"
248,"Regular","occasional",6429,"Clothing"
249,"Regular","rare",8260,"Electronics"
250,"Regular","rare",4354,"Electronics"
251,"Silver","rare",10562,"Electronics"
252,"Regular","occasional",20269,"Food"
253,"Regular","frequent",12105,"Books"
254,"Silver","frequent",15486,"Books"
255,"Regular","occasional",10274,"Health"
256,"Silver","frequent",4868,"Clothing"
257,"Regular","rare",2623,"Clothing"
258,"Silver","occasional",9754,"Books"
259,"Silver","frequent",5408,"Clothing"
260,"Gold","rare",15480,"Beauty"
261,"Silver","rare",10382,"Clothing"
262,"Silver","rare",1771,"Books"
263,"Regular","occasional",15190,"Electronics"
264,"Regular","occasional",16756,"Food"
265,"Regular","occasional",19849,"Food"
266,"Regular","occasional",12318,"Electronics"
267,"Silver","rare",11767,"Food"
268,"Regular","frequent",12768,"Electronics"
269,"Regular","rare",10312,"Food"
270,"Regular","occasional",16062,"Electronics"
271,"Silver","rare",5591,"Electronics"
272,"Regular","occasional",3274,"Electronics"
273,"Gold","frequent",12738,"Health"
274,"Silver","rare",13016,"Home"
275,"Silver","occasional",12406,"Health"
276,"Gold","occasional",6997,"Electronics"
277,"Regular","frequent",3556,"Clothing"
278,"Silver","rare",6872,"Food"
279,"Silver","rare",6081,"Food"
280,"Regular","occasional",2700,"Electronics"
281,"Silver","rare",16697,"Electronics"
282,"Gold","rare",9219,"Food"
283,"Regular","occasional",12287,"Clothing"
284,"Silver","occasional",6500,"Beauty"
285,"Regular","rare",13047,"Books"
286,"Regular","rare",14734,"Electronics"
287,"Regular","occasional",9737,"Food"
288,"Regular","rare",13508,"Clothing"
289,"Silver","occasional",10512,"Clothing"
290,"Regular","occasional",8147,"Electronics"
291,"Regular","rare",3315,"Books"
292,"Regular","frequent",10382,"Electronics"
293,"Silver","rare",15809,"Home"
294,"Silver","occasional",4884,"Food"
295,"Silver","rare",12715,"Books"
296,"Silver","frequent",5670,"Health"
297,"Silver","rare",12100,"Electronics"
298,"Regular","rare",9676,"Clothing"
299,"Regular","rare",12683,"Food"
300,"Silver","rare",8926,"Health"
301,"Regular","occasional",2057,"Electronics"
302,"Silver","frequent",7050,"Clothing"
303,"Silver","rare",3117,"Electronics"
304,"Regular","rare",8868,"Electronics"
305,"Gold","rare",5126,"Electronics"
306,"Gold","rare",2301,"Electronics"
307,"Regular","occasional",6887,"Food"
308,"Regular","occasional",8190,"Electronics"
309,"Regular","rare",13352,"Books"
310,"Gold","frequent",10912,"Books"
311,"Silver","rare",9610,"Electronics"
312,"Silver","frequent",9973,"Electronics"
313,"Regular","rare",9539,"Books"
314,"Silver","rare",2054,"Electronics"
315,"Silver","rare",15244,"Clothing"
316,"Regular","rare",14109,"Beauty"
317,"Silver","rare",16170,"Beauty"
318,"Regular","frequent",11624,"Books"
319,"Regular","occasional",5706,"Books"
320,"Regular","rare",2926,"Electronics"
321,"Regular","occasional",12680,"Books"
322,"Regular","occasional",11264,"Books"
323,"Regular","rare",5937,"Food"
324,"Regular","rare",2976,"Electronics"
325,"Silver","occasional",15993,"Health"
326,"Silver","occasional",18177,"Clothing"
327,"Regular","rare",13642,"Clothing"
328,"Regular","occasional",10801,"Books"
329,"Regular","occasional",16138,"Clothing"
330,"Gold","occasional",4709,"Clothing"
331,"Regular","occasional",7294,"Electronics"
332,"Gold","rare",14033,"Clothing"
333,"Regular","rare",13664,"Health"
334,"Regular","rare",10953,"Books"
335,"Silver","rare",8024,"Electronics"
336,"Silver","rare",7759,"Beauty"
337,"Silver","occasional",2316,"Beauty"
338,"Silver","rare",15592,"Beauty"
339,"Gold","rare",14809,"Food"
340,"Regular","rare",7372,"Food"
341,"Regular","occasional",16859,"Food"
342,"Regular","rare",10114,"Electronics"
343,"Gold","rare",10937,"Books"
344,"Silver","frequent",3538,"Food"
345,"Regular","occasional",14408,"Food"
346,"Silver","rare",6142,"Food"
347,"Regular","frequent",14341,"Clothing"
348,"Regular","rare",15517,"Electronics"
349,"Regular","occasional",9615,"Health"
350,"Regular","rare",2589,"Electronics"
351,"Gold","frequent",13098,"Beauty"
352,"Regular","occasional",8405,"Clothing"
353,"Regular","rare",7874,"Books"
354,"Regular","rare",3372,"Electronics"
355,"Regular","rare",4717,"Beauty"
356,"Silver","rare",3629,"Home"
357,"Regular","rare",3955,"Clothing"
358,"Silver","frequent",4031,"Health"
359,"Regular","rare",12627,"Clothing"
360,"Gold","frequent",5845,"Electronics"
361,"Regular","occasional",4364,"Electronics"
362,"Regular","frequent",2473,"Electronics"
363,"Regular","frequent",12682,"Home"
364,"Regular","frequent",12173,"Electronics"
365,"Silver","rare",5693,"Food"
366,"Regular","occasional",17856,"Books"
367,"Regular","occasional",5765,"Electronics"
368,"Silver","rare",10259,"Books"
369,"Silver","rare",15578,"Books"
370,"Regular","frequent",4038,"Clothing"
371,"Regular","rare",1753,"Clothing"
372,"Silver","rare",4665,"Books"
373,"Regular","rare",7806,"Clothing"
374,"Silver","occasional",11805,"Electronics"
375,"Gold","occasional",10615,"Food"
376,"Regular","frequent",7323,"Food"
377,"Silver","occasional",5510,"Books"
378,"Regular","rare",6478,"Electronics"
379,"Silver","occasional",13794,"Clothing"
380,"Regular","rare",17362,"Electronics"
381,"Gold","frequent",7418,"Health"
382,"Silver","occasional",13045,"Electronics"
383,"Regular","frequent",13315,"Books"
384,"Regular","occasional",13282,"Clothing"
385,"Regular","rare",12289,"Beauty"
386,"Silver","rare",13351,"Food"
387,"Silver","occasional",6412,"Books"
388,"Gold","occasional",15991,"Health"
389,"Regular","rare",4487,"Beauty"
390,"Regular","rare",10499,"Electronics"
391,"Regular","occasional",16165,"Books"
392,"Regular","occasional",6796,"Books"
393,"Gold","occasional",5345,"Books"
394,"Silver","occasional",17274,"Books"
395,"Silver","rare",5348,"Food"
396,"Regular","rare",1729,"Electronics"
397,"Regular","occasional",15992,"Health"
398,"Regular","occasional",7130,"Electronics"
399,"Gold","occasional",12982,"Food"
400,"Regular","occasional",2275,"Electronics"
401,"Regular","occasional",12264,"Beauty"
402,"Silver","occasional",12387,"Books"
403,"Silver","occasional",6827,"Books"
404,"Regular","frequent",8375,"Electronics"
405,"Regular","frequent",5131,"Books"
406,"Regular","rare",12277,"Electronics"
407,"Regular","rare",10766,"Clothing"
408,"Silver","occasional",3505,"Books"
409,"Regular","rare",3392,"Books"
410,"Regular","rare",3702,"Clothing"
411,"Regular","rare",15510,"Books"
412,"Gold","frequent",2005,"Clothing"
413,"Silver","rare",6304,"Clothing"
414,"Regular","occasional",5011,"Beauty"
415,"Silver","rare",3096,"Electronics"
416,"Regular","frequent",4828,"Electronics"
417,"Silver","occasional",7502,"Clothing"
418,"Gold","frequent",2046,"Food"
419,"Regular","rare",13261,"Food"
420,"Silver","occasional",13390,"Clothing"
421,"Regular","frequent",11166,"Clothing"
422,"Silver","rare",2817,"Books"
423,"Regular","frequent",17549,"Electronics"
424,"Regular","rare",7367,"Electronics"
425,"Regular","occasional",11280,"Electronics"
426,"Regular","occasional",5201,"Clothing"
427,"Regular","occasional",4513,"Books"
428,"Regular","rare",20023,"Clothing"
429,"Silver","rare",6800,"Health"
430,"Silver","occasional",9072,"Books"
431,"Regular","rare",14499,"Electronics"
432,"Regular","rare",2367,"Home"
433,"Silver","occasional",2070,"Clothing"
434,"Gold","occasional",17613,"Health"
435,"Silver","frequent",15750,"Electronics"
436,"Gold","rare",3046,"Electronics"
437,"Regular","rare",4089,"Electronics"
438,"Silver","rare",6530,"Electronics"
439,"Silver","occasional",13191,"Clothing"
440,"Regular","rare",7902,"Books"
441,"Regular","frequent",1605,"Food"
442,"Regular","frequent",4700,"Electronics"
443,"Gold","occasional",15633,"Electronics"
444,"Regular","occasional",10891,"Clothing"
445,"Regular","occasional",2444,"Electronics"
446,"Regular","occasional",1374,"Health"
447,"Gold","rare",12181,"Books"
448,"Regular","rare",5328,"Health"
449,"Regular","occasional",3700,"Clothing"
450,"Silver","frequent",13344,"Electronics"
451,"Silver","rare",6711,"Clothing"
452,"Gold","rare",13480,"Electronics"
453,"Silver","rare",12027,"Home"
454,"Silver","frequent",15251,"Health"
455,"Silver","occasional",8926,"Books"
456,"Gold","rare",3613,"Health"
457,"Regular","rare",5770,"Books"
458,"Regular","rare",14909,"Food"
459,"Regular","rare",15494,"Electronics"
460,"Regular","frequent",12216,"Home"
461,"Regular","frequent",14284,"Books"
462,"Regular","rare",8737,"Clothing"
463,"Silver","occasional",6730,"Books"
464,"Regular","rare",6837,"Electronics"
465,"Silver","occasional",8516,"Electronics"
466,"Regular","rare",12000,"Health"
467,"Regular","rare",13727,"Food"
468,"Regular","occasional",11675,"Food"
469,"Regular","rare",13327,"Electronics"
470,"Regular","rare",6514,"Home"
471,"Regular","frequent",19197,"Health"
472,"Regular","rare",4477,"Beauty"
473,"Regular","frequent",3133,"Clothing"
474,"Regular","rare",13736,"Food"
475,"Silver","frequent",10298,"Food"
476,"Silver","occasional",2092,"Health"
477,"Silver","occasional",6088,"Electronics"
478,"Regular","rare",5486,"Electronics"
479,"Silver","rare",3659,"Electronics"
480,"Regular","occasional",11464,"Books"
481,"Regular","rare",14646,"Food"
482,"Regular","rare",5505,"Clothing"
483,"Regular","frequent",14439,"Books"
484,"Silver","frequent",5431,"Home"
485,"Regular","occasional",4519,"Electronics"
486,"Silver","rare",8579,"Clothing"
487,"Regular","frequent",11516,"Home"
488,"Regular","occasional",3637,"Books"
489,"Regular","frequent",13585,"Health"
490,"Regular","rare",1428,"Clothing"
491,"Silver","rare",10967,"Food"
492,"Regular","frequent",8726,"Electronics"
493,"Regular","occasional",7519,"Food"
494,"Regular","frequent",3454,"Health"
495,"Regular","occasional",5955,"Books"
496,"Silver","frequent",11233,"Electronics"
497,"Regular","rare",17296,"Food"
498,"Silver","occasional",2495,"Electronics"
499,"Regular","frequent",13592,"Beauty"
500,"Regular","occasional",16169,"Clothing"
501,"Regular","occasional",15234,"Books"
502,"Silver","rare",4119,"Food"
503,"Regular","occasional",11987,"Electronics"
504,"Regular","rare",1922,"Electronics"
505,"Regular","rare",17164,"Food"
506,"Regular","occasional",3808,"Clothing"
507,"Silver","rare",11540,"Books"
508,"Regular","occasional",4733,"Health"
509,"Regular","rare",3368,"Clothing"
510,"Regular","rare",7421,"Food"
511,"Regular","occasional",11775,"Electronics"
512,"Regular","rare",1953,"Electronics"
513,"Regular","occasional",3011,"Clothing"
514,"Silver","frequent",12216,"Beauty"
515,"Silver","occasional",3788,"Electronics"
516,"Silver","rare",5206,"Clothing"
517,"Silver","frequent",10565,"Electronics"
518,"Regular","rare",3340,"Home"
519,"Silver","frequent",10740,"Clothing"
520,"Regular","rare",8739,"Books"
521,"Silver","occasional",14525,"Food"
522,"Regular","occasional",16610,"Books"
523,"Regular","frequent",10307,"Books"
524,"Regular","rare",11876,"Books"
525,"Silver","rare",6802,"Food"
526,"Silver","rare",7049,"Health"
527,"Regular","occasional",17793,"Food"
528,"Regular","rare",16860,"Food"
529,"Silver","rare",14610,"Clothing"
530,"Regular","rare",10898,"Electronics"
531,"Regular","rare",2328,"Clothing"
532,"Silver","occasional",6242,"Clothing"
533,"Regular","rare",10176,"Electronics"
534,"Silver","occasional",13925,"Electronics"
535,"Silver","frequent",17662,"Clothing"
536,"Regular","rare",1757,"Clothing"
537,"Silver","frequent",9356,"Clothing"
538,"Silver","frequent",20031,"Books"
539,"Regular","rare",14199,"Electronics"
540,"Regular","occasional",14287,"Health"
541,"Regular","rare",8451,"Clothing"
542,"Regular","frequent",11452,"Food"
543,"Regular","rare",16478,"Food"
544,"Regular","occasional",5838,"Books"
545,"Regular","rare",3315,"Clothing"
546,"Gold","rare",6677,"Health"
547,"Regular","frequent",6304,"Clothing"
548,"Regular","rare",3260,"Health"
549,"Silver","occasional",3456,"Beauty"
550,"Regular","rare",7087,"Beauty"
551,"Regular","frequent",2344,"Food"
552,"Silver","rare",7696,"Clothing"
553,"Silver","frequent",12475,"Clothing"
554,"Regular","rare",6960,"Electronics"
555,"Silver","frequent",8517,"Electronics"
556,"Regular","occasional",8160,"Electronics"
557,"Regular","occasional",3690,"Health"
558,"Gold","rare",10450,"Clothing"
559,"Silver","rare",5330,"Beauty"
560,"Silver","occasional",11086,"Electronics"
561,"Regular","occasional",4169,"Electronics"
562,"Gold","frequent",9292,"Electronics"
563,"Gold","rare",8044,"Electronics"
564,"Silver","rare",15171,"Food"
565,"Silver","frequent",12888,"Books"
566,"Regular","rare",5857,"Clothing"
567,"Regular","rare",10807,"Clothing"
568,"Regular","rare",20849,"Electronics"
569,"Regular","rare",11700,"Clothing"
570,"Silver","occasional",13472,"Food"
571,"Gold","rare",9466,"Clothing"
572,"Regular","rare",2741,"Beauty"
573,"Gold","frequent",3783,"Electronics"
574,"Regular","rare",4067,"Food"
575,"Regular","frequent",6203,"Books"
576,"Regular","rare",1889,"Clothing"
577,"Regular","rare",2711,"Electronics"
578,"Regular","occasional",9829,"Health"
579,"Regular","rare",12727,"Food"
580,"Regular","rare",13761,"Health"
581,"Regular","frequent",7371,"Electronics"
582,"Regular","rare",6179,"Clothing"
583,"Silver","occasional",11739,"Electronics"
584,"Regular","occasional",17865,"Books"
585,"Regular","occasional",12215,"Electronics"
586,"Silver","frequent",14650,"Electronics"
587,"Silver","occasional",5202,"Electronics"
588,"Gold","frequent",8152,"Electronics"
589,"Regular","rare",20542,"Clothing"
590,"Regular","frequent",14813,"Books"
591,"Regular","frequent",9092,"Electronics"
592,"Regular","rare",6028,"Books"
593,"Regular","occasional",2044,"Electronics"
594,"Regular","rare",5410,"Clothing"
595,"Regular","frequent",2182,"Food"
596,"Silver","rare",12953,"Electronics"
597,"Regular","occasional",2032,"Clothing"
598,"Silver","rare",11012,"Electronics"
599,"Regular","occasional",3005,"Books"
600,"Regular","occasional",7913,"Food"
601,"Regular","occasional",13722,"Home"
602,"Regular","rare",4508,"Clothing"
603,"Regular","rare",8692,"Books"
604,"Regular","frequent",9471,"Health"
605,"Silver","frequent",12326,"Books"
606,"Gold","occasional",8164,"Electronics"
607,"Silver","rare",2502,"Electronics"
608,"Silver","frequent",15650,"Electronics"
609,"Silver","occasional",13149,"Electronics"
610,"Regular","rare",3540,"Beauty"
611,"Regular","rare",6972,"Electronics"
612,"Regular","rare",15498,"Electronics"
613,"Regular","rare",8939,"Health"
614,"Regular","rare",10457,"Home"
615,"Regular","occasional",14156,"Electronics"
616,"Regular","rare",8908,"Books"
617,"Regular","rare",19859,"Health"
618,"Gold","rare",14375,"Books"
619,"Silver","occasional",3902,"Food"
620,"Silver","occasional",9818,"Electronics"
621,"Regular","rare",9491,"Clothing"
622,"Gold","frequent",10338,"Home"
623,"Regular","rare",10484,"Books"
624,"Regular","rare",14138,"Electronics"
625,"Regular","frequent",2171,"Beauty"
626,"Regular","rare",17300,"Food"
627,"Silver","rare",8130,"Electronics"
628,"Regular","rare",11746,"Books"
629,"Regular","rare",7827,"Food"
630,"Silver","rare",6097,"Clothing"
631,"Regular","occasional",18644,"Electronics"
632,"Regular","occasional",15880,"Books"
633,"Gold","frequent",17901,"Electronics"
634,"Silver","rare",17744,"Books"
635,"Silver","rare",8883,"Books"
636,"Regular","frequent",7217,"Electronics"
637,"Regular","rare",16224,"Clothing"
638,"Regular","rare",7651,"Clothing"
639,"Silver","occasional",2200,"Electronics"
640,"Regular","frequent",13453,"Clothing"
641,"Silver","occasional",7515,"Electronics"
642,"Silver","rare",15014,"Electronics"
643,"Regular","occasional",6078,"Books"
644,"Silver","rare",5370,"Clothing"
645,"Regular","rare",19632,"Clothing"
646,"Silver","rare",10534,"Clothing"
647,"Regular","rare",5690,"Beauty"
648,"Silver","occasional",3271,"Health"
649,"Regular","frequent",8744,"Clothing"
650,"Silver","rare",3097,"Electronics"
651,"Silver","occasional",12742,"Electronics"
652,"Regular","frequent",17184,"Books"
653,"Silver","frequent",15318,"Clothing"
654,"Regular","occasional",10820,"Electronics"
655,"Regular","rare",15355,"Clothing"
656,"Silver","occasional",14231,"Food"
657,"Regular","rare",9344,"Food"
658,"Silver","occasional",6688,"Electronics"
659,"Gold","rare",7136,"Clothing"
660,"Regular","frequent",8771,"Electronics"
661,"Regular","occasional",15626,"Beauty"
662,"Regular","frequent",13495,"Electronics"
663,"Silver","rare",12438,"Electronics"
664,"Regular","occasional",10381,"Books"
665,"Regular","rare",4895,"Food"
666,"Regular","rare",12260,"Food"
667,"Regular","occasional",3764,"Food"
668,"Gold","occasional",7796,"Health"
669,"Silver","rare",9357,"Electronics"
670,"Regular","frequent",15901,"Home"
671,"Regular","occasional",2900,"Books"
672,"Regular","rare",6093,"Health"
673,"Silver","rare",5908,"Health"
674,"Silver","occasional",7142,"Books"
675,"Regular","frequent",1953,"Food"
676,"Gold","frequent",17953,"Food"
677,"Regular","rare",5459,"Food"
678,"Silver","rare",18576,"Electronics"
679,"Silver","rare",7194,"Clothing"
680,"Regular","rare",5438,"Health"
681,"Silver","rare",10035,"Food"
682,"Regular","rare",3764,"Electronics"
683,"Regular","occasional",13484,"Clothing"
684,"Silver","rare",18511,"Clothing"
685,"Silver","frequent",5436,"Books"
686,"Silver","rare",7868,"Beauty"
687,"Silver","frequent",3467,"Clothing"
688,"Regular","rare",4938,"Electronics"
689,"Regular","occasional",6422,"Electronics"
690,"Silver","occasional",10995,"Books"
691,"Silver","rare",13964,"Electronics"
692,"Regular","occasional",12679,"Home"
693,"Regular","occasional",16856,"Food"
694,"Regular","frequent",2897,"Clothing"
695,"Regular","rare",16472,"Home"
696,"Silver","occasional",2139,"Clothing"
697,"Gold","rare",5744,"Clothing"
698,"Regular","occasional",14412,"Electronics"
699,"Silver","rare",12277,"Electronics"
700,"Silver","occasional",15799,"Home"
701,"Regular","occasional",6510,"Health"
702,"Silver","frequent",2345,"Electronics"
703,"Silver","rare",10554,"Food"
704,"Regular","occasional",12688,"Clothing"
705,"Gold","occasional",16470,"Books"
706,"Regular","rare",4106,"Electronics"
707,"Regular","rare",12035,"Books"
708,"Regular","occasional",10104,"Food"
709,"Gold","rare",2375,"Food"
