"id","age","gender","education","region"
292,35,"Male","Masters","East"
293,35,"Female","College","North"
294,27,"Female","College","East"
295,39,"Male","College","West"
296,30,"Female","College","South"
297,38,"Male","College","East"
298,24,"Female","HighSchool","South"
299,30,"Female","Masters","West"
300,36,"Female","HighSchool","East"
301,27,"Female","College","South"
302,27,"Female","Masters","West"
303,26,"Male","College","West"
304,25,"Male","HighSchool","East"
305,28,"Male","Masters","North"
306,31,"Female","Bachelor","East"
307,21,"Male","College","East"
308,31,"Female","College","East"
309,36,"Male","College","East"
310,39,"Male","Bachelor","East"
311,36,"Male","Bachelor","East"
312,33,"Male","Bachelor","North"
313,22,"Female","College","West"
314,27,"Female","College","South"
315,28,"Male","College","North"
316,33,"Male","Bachelor","North"
317,30,"Female","Bachelor","West"
318,24,"Male","College","South"
319,38,"Female","College","East"
320,34,"Male","Masters","West"
321,31,"Male","Bachelor","East"
322,35,"Female","College","South"
323,24,"Female","College","East"
324,33,"Female","College","West"
325,28,"Male","HighSchool","North"
326,33,"Female","HighSchool","East"
327,30,"Male","Bachelor","West"
328,33,"Female","Bachelor","West"
329,36,"Female","Bachelor","North"
330,30,"Female","HighSchool","West"
331,35,"Male","College","South"
332,25,"Female","College","South"
333,27,"Female","HighSchool","West"
334,37,"Male","HighSchool","South"
335,32,"Female","Bachelor","South"
336,21,"Male","Bachelor","South"
337,24,"Male","Bachelor","South"
338,29,"Male","Bachelor","West"
339,34,"Female","College","East"
340,30,"Male","College","East"
341,33,"Male","College","West"
342,34,"Female","HighSchool","West"
343,37,"Female","College","West"
344,30,"Female","Bachelor","North"
345,30,"Male","Masters","West"
346,22,"Male","College","West"
347,30,"Female","HighSchool","West"
348,27,"Male","College","North"
349,26,"Male","Bachelor","East"
350,29,"Female","College","West"
351,35,"Female","Bachelor","East"
352,21,"Male","College","South"
353,28,"Male","College","West"
354,31,"Male","College","West"
355,26,"Male","College","West"
356,31,"Male","College","East"
357,32,"Female","College","East"
358,30,"Male","HighSchool","East"
359,19,"Male","Bachelor","East"
360,41,"Male","College","West"
361,29,"Male","College","East"
362,33,"Female","Bachelor","West"
363,31,"Female","Bachelor","West"
364,35,"Female","HighSchool","East"
365,34,"Male","Masters","West"
366,29,"Male","College","North"
367,32,"Female","Masters","North"
368,26,"Female","College","West"
369,34,"Female","Masters","East"
370,28,"Male","College","South"
371,41,"Male","HighSchool","West"
372,23,"Male","College","East"
373,28,"Female","College","North"
374,34,"Female","HighSchool","East"
375,32,"Male","Masters","North"
376,27,"Male","HighSchool","South"
377,26,"Female","College","North"
378,31,"Male","Masters","East"
379,30,"Female","College","North"
380,22,"Female","College","North"
381,30,"Male","College","North"
382,31,"Male","HighSchool","East"
383,31,"Female","College","East"
384,25,"Female","Bachelor","North"
385,32,"Male","Bachelor","South"
386,36,"Male","College","East"
387,32,"Male","HighSchool","North"
388,25,"Female","College","West"
389,28,"Female","College","South"
390,32,"Female","Bachelor","North"
391,27,"Female","Bachelor","East"
392,20,"Female","Bachelor","North"
393,34,"Female","College","West"
394,26,"Female","College","South"
395,27,"Male","Bachelor","South"
396,37,"Male","College","North"
397,27,"Female","College","East"
398,34,"Female","Bachelor","East"
399,24,"Female","Bachelor","West"
400,28,"Female","College","North"
401,30,"Female","College","South"
402,25,"Male","HighSchool","South"
403,27,"Female","HighSchool","East"
404,30,"Female","Masters","West"
405,33,"Male","Masters","North"
406,23,"Male","Bachelor","South"
407,28,"Male","Bachelor","West"
408,33,"Male","College","East"
409,28,"Female","College","East"
410,31,"Female","Masters","North"
411,32,"Female","Bachelor","South"
412,31,"Female","HighSchool","South"
413,33,"Female","HighSchool","East"
414,29,"Male","College","West"
415,28,"Female","College","North"
416,18,"Female","Bachelor","South"
417,30,"Male","College","West"
418,32,"Female","College","West"
419,32,"Male","HighSchool","East"
420,28,"Female","College","East"
421,38,"Male","College","North"
422,31,"Female","Masters","West"
423,31,"Female","College","East"
424,36,"Female","HighSchool","West"
425,27,"Male","Bachelor","North"
426,28,"Male","HighSchool","South"
427,41,"Female","Bachelor","North"
428,30,"Male","Bachelor","South"
429,37,"Male","College","North"
430,24,"Male","HighSchool","North"
431,29,"Male","Bachelor","West"
432,32,"Female","College","West"
433,31,"Female","College","West"
434,26,"Female","College","South"
435,30,"Female","Bachelor","West"
436,25,"Male","Bachelor","East"
437,33,"Female","Masters","South"
438,35,"Male","College","East"
439,20,"Female","College","South"
440,36,"Male","College","North"
441,24,"Female","College","South"
442,32,"Male","College","East"
443,33,"Male","HighSchool","West"
444,29,"Male","College","South"
445,27,"Female","College","North"
446,31,"Female","College","North"
447,32,"Male","HighSchool","West"
448,34,"Female","College","South"
449,21,"Male","HighSchool","South"
450,23,"Female","College","West"
451,36,"Male","Bachelor","North"
452,35,"Male","College","West"
453,32,"Female","Masters","West"
454,33,"Female","College","West"
455,34,"Male","Bachelor","East"
456,18,"Female","College","East"
457,35,"Female","Masters","West"
458,28,"Female","College","West"
459,31,"Male","Masters","West"
460,29,"Female","Masters","North"
461,34,"Male","College","North"
462,28,"Male","Masters","South"
463,32,"Female","Bachelor","North"
464,28,"Female","HighSchool","North"
465,25,"Female","HighSchool","South"
466,35,"Male","Bachelor","West"
467,33,"Female","College","East"
468,38,"Female","HighSchool","East"
469,30,"Male","HighSchool","South"
470,35,"Female","HighSchool","North"
471,39,"Male","Bachelor","North"
472,29,"Female","College","East"
473,24,"Male","HighSchool","North"
474,29,"Male","Masters","West"
475,29,"Female","Masters","North"
476,31,"Male","HighSchool","North"
477,38,"Male","HighSchool","West"
478,29,"Male","HighSchool","North"
479,32,"Male","Bachelor","East"
480,29,"Male","Bachelor","East"
481,30,"Male","HighSchool","North"
482,31,"Female","Masters","West"
483,36,"Female","Bachelor","South"
484,31,"Male","College","South"
485,33,"Male","College","North"
486,33,"Female","Bachelor","West"
487,34,"Male","Bachelor","South"
488,27,"Female","HighSchool","East"
489,37,"Female","HighSchool","South"
490,28,"Male","Bachelor","East"
491,30,"Female","College","West"
492,36,"Female","College","West"
493,36,"Male","College","North"
494,25,"Female","College","South"
495,26,"Male","College","East"
496,24,"Female","College","South"
497,31,"Female","Bachelor","South"
498,31,"Female","Bachelor","West"
499,32,"Male","College","East"
500,32,"Male","College","East"
501,27,"Female","HighSchool","South"
502,26,"Female","College","South"
503,35,"Female","Bachelor","West"
504,33,"Female","HighSchool","East"
505,23,"Male","HighSchool","West"
506,30,"Female","Masters","West"
507,26,"Male","College","West"
508,21,"Female","College","South"
509,31,"Male","HighSchool","West"
510,30,"Female","College","East"
511,30,"Female","HighSchool","South"
512,31,"Male","Masters","East"
513,34,"Male","College","South"
514,31,"Male","College","East"
515,27,"Female","Masters","West"
516,27,"Female","Bachelor","West"
517,29,"Female","Bachelor","North"
518,31,"Female","College","South"
519,25,"Male","Bachelor","South"
520,29,"Female","HighSchool","South"
521,34,"Female","HighSchool","South"
522,30,"Male","College","West"
523,27,"Male","College","West"
524,29,"Male","College","West"
525,35,"Female","College","West"
526,32,"Male","College","South"
527,36,"Male","Bachelor","West"
528,31,"Male","College","North"
529,32,"Male","Bachelor","South"
530,28,"Female","Bachelor","West"
531,33,"Female","College","East"
532,28,"Female","Masters","West"
533,24,"Female","HighSchool","East"
534,31,"Male","HighSchool","East"
535,39,"Female","Bachelor","East"
536,34,"Male","College","West"
537,35,"Male","HighSchool","North"
538,32,"Male","College","North"
539,27,"Male","College","East"
540,29,"Female","College","North"
541,29,"Male","Bachelor","West"
542,28,"Male","College","West"
543,33,"Male","HighSchool","North"
544,25,"Female","Bachelor","South"
545,34,"Male","Masters","West"
546,34,"Female","Bachelor","South"
547,25,"Male","College","North"
548,33,"Male","HighSchool","West"
549,41,"Female","Bachelor","East"
550,28,"Female","HighSchool","West"
551,34,"Male","Masters","North"
552,27,"Male","College","South"
553,35,"Male","Masters","West"
554,31,"Male","HighSchool","West"
555,37,"Female","Bachelor","West"
556,23,"Male","Bachelor","West"
557,30,"Male","HighSchool","West"
558,28,"Male","College","East"
559,29,"Male","College","West"
560,27,"Male","Bachelor","West"
561,26,"Female","Bachelor","East"
562,33,"Female","Bachelor","South"
563,25,"Female","College","East"
564,37,"Female","Bachelor","South"
565,25,"Male","Bachelor","East"
566,30,"Female","Masters","North"
567,32,"Female","Masters","North"
568,33,"Male","HighSchool","North"
569,29,"Male","Masters","North"
570,30,"Female","HighSchool","West"
571,34,"Female","Bachelor","West"
572,23,"Female","College","East"
573,27,"Male","Masters","East"
574,31,"Female","College","East"
575,28,"Male","College","West"
576,36,"Female","Bachelor","South"
577,33,"Male","Masters","East"
578,30,"Male","College","South"
579,23,"Male","College","West"
580,30,"Male","College","West"
581,29,"Female","Bachelor","North"
582,30,"Male","HighSchool","West"
583,25,"Male","HighSchool","West"
584,32,"Female","HighSchool","North"
585,25,"Female","Bachelor","North"
586,29,"Male","Bachelor","North"
587,32,"Female","Bachelor","East"
588,26,"Male","Bachelor","North"
589,33,"Female","Masters","West"
590,24,"Male","College","West"
591,17,"Male","College","South"
592,32,"Female","College","South"
593,34,"Female","College","East"
594,29,"Female","College","South"
595,32,"Male","Bachelor","East"
596,25,"Female","Bachelor","West"
597,29,"Male","Bachelor","East"
598,21,"Female","Bachelor","South"
599,35,"Male","College","East"
600,38,"Male","College","East"
601,35,"Male","Bachelor","North"
602,30,"Male","College","North"
603,30,"Male","Bachelor","West"
604,23,"Female","HighSchool","East"
605,34,"Female","College","East"
606,29,"Female","Bachelor","North"
607,27,"Male","College","North"
608,24,"Male","Masters","East"
609,29,"Male","Bachelor","North"
610,26,"Female","College","West"
611,28,"Male","Bachelor","South"
612,25,"Female","College","East"
613,38,"Male","College","South"
614,30,"Female","Bachelor","East"
615,35,"Female","HighSchool","North"
616,18,"Male","HighSchool","East"
617,28,"Female","HighSchool","North"
618,27,"Female","HighSchool","East"
619,25,"Female","Masters","East"
620,37,"Male","Bachelor","East"
621,24,"Female","Masters","East"
622,31,"Male","College","North"
623,34,"Female","HighSchool","West"
624,31,"Female","Masters","East"
625,26,"Male","HighSchool","South"
626,34,"Male","Bachelor","South"
627,31,"Female","College","North"
628,25,"Male","Bachelor","North"
629,24,"Female","HighSchool","West"
630,39,"Male","HighSchool","East"
631,27,"Female","Bachelor","North"
632,22,"Female","Bachelor","North"
633,32,"Female","College","South"
634,31,"Male","Bachelor","North"
635,24,"Female","HighSchool","South"
636,21,"Male","College","East"
637,29,"Male","College","North"
638,35,"Female","College","East"
639,33,"Female","HighSchool","North"
640,28,"Male","HighSchool","East"
641,26,"Male","Bachelor","North"
642,31,"Male","College","South"
643,31,"Male","College","North"
644,33,"Female","College","South"
645,28,"Female","College","South"
646,34,"Male","Bachelor","East"
647,26,"Female","HighSchool","West"
648,29,"Male","Masters","East"
649,33,"Female","Bachelor","South"
650,34,"Male","HighSchool","South"
651,21,"Male","College","South"
652,30,"Female","College","North"
653,33,"Female","Bachelor","South"
654,24,"Female","College","West"
655,32,"Female","Bachelor","West"
656,26,"Male","Bachelor","North"
657,35,"Male","Bachelor","North"
658,32,"Male","Masters","East"
659,33,"Female","HighSchool","West"
660,31,"Male","Bachelor","East"
661,34,"Female","Bachelor","North"
662,36,"Male","College","West"
663,39,"Male","Bachelor","South"
664,30,"Male","Bachelor","East"
665,20,"Female","HighSchool","West"
666,30,"Male","Bachelor","East"
667,31,"Male","College","South"
668,29,"Female","College","North"
669,33,"Male","College","South"
670,35,"Male","College","East"
671,28,"Male","HighSchool","West"
672,29,"Female","College","West"
673,32,"Female","College","East"
674,28,"Female","College","South"
675,30,"Male","College","East"
676,21,"Female","College","East"
677,25,"Male","Bachelor","West"
678,24,"Male","Bachelor","East"
679,26,"Male","College","South"
680,27,"Female","Masters","North"
681,32,"Male","College","East"
682,34,"Female","College","North"
683,27,"Female","HighSchool","North"
684,26,"Male","College","East"
685,25,"Male","Bachelor","East"
686,28,"Female","HighSchool","South"
687,29,"Male","Bachelor","South"
688,32,"Female","Masters","West"
689,29,"Female","Masters","West"
690,21,"Male","HighSchool","East"
691,30,"Female","College","South"
692,35,"Female","College","West"
693,35,"Male","College","East"
694,26,"Female","College","South"
695,23,"Male","College","East"
696,41,"Female","HighSchool","North"
697,29,"Male","Bachelor","West"
698,30,"Male","College","East"
699,32,"Female","HighSchool","East"
700,23,"Female","HighSchool","North"
701,27,"Female","Bachelor","East"
702,23,"Male","College","East"
703,27,"Male","Bachelor","West"
704,31,"Male","College","South"
705,24,"Female","Masters","North"
706,33,"Female","College","West"
707,31,"Male","Masters","East"
708,26,"Female","HighSchool","West"
709,31,"Female","HighSchool","North"
710,33,"Female","College","North"
711,35,"Male","College","East"
712,29,"Female","Masters","South"
713,30,"Female","HighSchool","South"
714,30,"Female","Bachelor","South"
715,36,"Male","HighSchool","South"
716,35,"Female","Bachelor","South"
717,34,"Male","Bachelor","North"
718,29,"Female","College","North"
719,32,"Male","Masters","East"
720,32,"Male","Bachelor","East"
721,25,"Female","Bachelor","South"
722,22,"Female","Bachelor","West"
723,33,"Male","Masters","East"
724,23,"Male","HighSchool","East"
725,30,"Male","College","East"
726,31,"Female","Bachelor","East"
727,33,"Male","HighSchool","West"
728,31,"Male","Masters","West"
729,27,"Female","College","East"
730,34,"Male","HighSchool","North"
731,38,"Male","Masters","North"
732,34,"Female","Bachelor","South"
733,21,"Female","Bachelor","North"
734,36,"Male","College","South"
735,30,"Female","College","South"
736,32,"Male","College","South"
737,33,"Female","College","East"
738,30,"Male","Masters","East"
739,30,"Male","Masters","North"
740,35,"Male","HighSchool","West"
741,33,"Male","College","West"
742,34,"Male","HighSchool","South"
743,41,"Female","College","West"
744,33,"Female","Bachelor","East"
745,31,"Female","College","West"
746,20,"Male","HighSchool","East"
747,42,"Male","Masters","East"
748,28,"Male","Bachelor","West"
749,41,"Female","College","North"
750,32,"Male","HighSchool","West"
751,37,"Male","College","West"
752,30,"Male","Masters","North"
753,32,"Male","College","East"
754,31,"Female","HighSchool","South"
755,29,"Male","HighSchool","East"
756,29,"Female","HighSchool","South"
757,35,"Male","HighSchool","West"
758,29,"Female","Bachelor","East"
759,21,"Female","Bachelor","West"
760,29,"Female","Bachelor","East"
761,32,"Male","College","West"
762,33,"Female","Bachelor","North"
763,33,"Male","Masters","West"
764,22,"Female","College","East"
765,32,"Female","College","East"
766,34,"Female","College","South"
767,36,"Male","Bachelor","West"
768,29,"Female","Masters","South"
769,29,"Female","HighSchool","North"
770,37,"Male","Bachelor","East"
771,23,"Female","Bachelor","East"
772,28,"Male","College","West"
773,32,"Male","College","East"
774,23,"Female","College","North"
775,31,"Male","Masters","South"
776,38,"Female","Masters","East"
777,30,"Male","Masters","South"
778,29,"Female","Bachelor","South"
779,32,"Female","College","South"
780,29,"Male","Bachelor","West"
781,34,"Male","HighSchool","East"
782,34,"Male","Bachelor","East"
783,30,"Female","College","North"
784,25,"Male","Bachelor","West"
785,24,"Female","Bachelor","South"
786,27,"Male","HighSchool","East"
787,34,"Male","Bachelor","West"
788,21,"Male","College","West"
789,22,"Female","HighSchool","South"
790,27,"Female","Bachelor","South"
791,32,"Male","Bachelor","East"
792,26,"Female","Masters","North"
793,34,"Female","HighSchool","West"
794,31,"Male","Masters","West"
795,29,"Male","Bachelor","South"
796,34,"Male","Bachelor","North"
797,32,"Male","Bachelor","North"
798,28,"Male","College","West"
799,31,"Female","Bachelor","West"
800,33,"Male","Masters","South"
801,32,"Male","Bachelor","West"
802,27,"Male","College","South"
803,34,"Male","College","East"
804,35,"Male","Bachelor","East"
805,31,"Female","HighSchool","West"
806,31,"Female","HighSchool","South"
807,30,"Female","Bachelor","South"
808,40,"Female","College","North"
809,31,"Male","Masters","North"
810,29,"Male","HighSchool","East"
811,19,"Female","Bachelor","East"
812,23,"Female","College","West"
813,30,"Female","College","North"
814,31,"Female","College","East"
815,31,"Male","Bachelor","West"
816,34,"Female","HighSchool","South"
817,29,"Female","College","East"
818,35,"Female","Bachelor","West"
819,26,"Female","College","South"
820,25,"Female","HighSchool","West"
821,25,"Female","College","South"
822,33,"Male","College","West"
823,30,"Male","Bachelor","North"
824,34,"Male","HighSchool","North"
825,29,"Male","HighSchool","South"
826,27,"Male","Masters","West"
827,28,"Female","Bachelor","West"
828,22,"Female","Bachelor","South"
829,25,"Male","College","West"
830,24,"Female","Bachelor","South"
831,35,"Female","Bachelor","North"
832,27,"Female","College","West"
833,34,"Male","Bachelor","East"
834,37,"Male","Bachelor","South"
835,29,"Male","HighSchool","East"
836,31,"Female","Bachelor","North"
837,22,"Male","Bachelor","East"
838,26,"Male","College","East"
839,30,"Male","College","West"
840,31,"Female","Bachelor","North"
841,27,"Male","College","North"
842,42,"Female","Bachelor","East"
843,28,"Male","College","North"
844,30,"Female","College","East"
845,33,"Female","HighSchool","North"
846,30,"Female","HighSchool","West"
847,27,"Female","HighSchool","West"
848,35,"Female","HighSchool","South"
849,37,"Male","HighSchool","North"
850,30,"Male","HighSchool","South"
851,33,"Male","College","East"
852,30,"Female","Bachelor","South"
853,35,"Female","College","North"
854,25,"Female","College","North"
855,40,"Male","Bachelor","East"
856,27,"Male","Bachelor","West"
857,23,"Male","Bachelor","North"
858,28,"Male","College","South"
859,31,"Male","Bachelor","North"
860,37,"Male","HighSchool","East"
861,34,"Male","Bachelor","South"
862,31,"Male","Bachelor","South"
863,24,"Male","Bachelor","West"
864,26,"Male","HighSchool","North"
865,29,"Male","College","East"
866,41,"Female","Bachelor","South"
867,22,"Male","Bachelor","West"
868,35,"Female","HighSchool","West"
869,28,"Male","Masters","East"
870,37,"Female","Bachelor","North"
871,25,"Male","College","East"
872,31,"Male","HighSchool","North"
873,25,"Female","College","East"
874,34,"Male","HighSchool","East"
875,37,"Male","Masters","South"
876,39,"Female","College","West"
877,34,"Female","HighSchool","North"
878,38,"Male","HighSchool","East"
879,36,"Female","College","North"
880,29,"Male","Bachelor","North"
881,32,"Male","HighSchool","East"
882,26,"Female","Bachelor","East"
883,29,"Male","College","West"
884,35,"Female","Bachelor","West"
885,32,"Male","College","West"
886,32,"Male","College","West"
887,25,"Male","Bachelor","South"
888,27,"Male","College","South"
889,27,"Male","Bachelor","East"
890,32,"Female","College","West"
891,26,"Female","Bachelor","East"
892,33,"Male","HighSchool","North"
893,25,"Male","College","West"
894,38,"Male","Bachelor","North"
895,32,"Female","College","West"
896,27,"Female","Bachelor","South"
897,31,"Male","College","West"
898,28,"Female","Masters","North"
899,32,"Female","College","East"
900,31,"Female","Bachelor","East"
901,25,"Male","College","North"
902,26,"Male","College","North"
903,31,"Female","Bachelor","East"
904,37,"Female","College","West"
905,35,"Female","Bachelor","South"
906,27,"Female","Bachelor","South"
907,34,"Female","Bachelor","West"
908,30,"Male","HighSchool","West"
909,31,"Female","College","North"
910,31,"Male","HighSchool","West"
911,42,"Female","Bachelor","East"
912,25,"Female","Bachelor","East"
913,30,"Female","College","West"
914,22,"Female","Masters","East"
915,33,"Male","College","North"
916,35,"Male","HighSchool","East"
